id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Drive,The Sundowners,country,nostalgic,0.61,104,0.78,0.70,0.74
12,Neon Drift,Circuit Bay,electronic,euphoric,0.88,128,0.85,0.94,0.04
13,Empty Rooms,Hollow Pine,folk,melancholic,0.29,68,0.31,0.44,0.93
14,Crown Nothing,Kase Ward,hip-hop,confident,0.80,95,0.66,0.85,0.12
15,Velvet Dusk,Marlowe & June,r&b,romantic,0.54,86,0.74,0.68,0.41
16,Shatter Point,Iron Reflex,metal,angry,0.97,178,0.35,0.55,0.06
17,Winter Piano,Elara Voss,classical,sad,0.22,58,0.28,0.30,0.97
18,Smoke & Honey,Blue Delta,blues,soulful,0.45,92,0.62,0.57,0.83